Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29916002,52.81032149,52.73497976,49.41429613,51.61959074,54.98993129,51.59148109,53.53760397,58.52597163,61.26349799,57.04441636,58.03851408,57.50009228,54.64559552,59.85873247,70.72312428,71.41920542,68.27627054,,,,
Andorra,AND,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,13.45041237,14.5344128,17.19512159,14.46449551,16.68888794,15.57395187,11.20793678,9.342629006,13.29045274,15.28706588,13.20332099,14.03642416,18.35376136,18.18397508,16.59226848,16.99455436,19.54652165,21.64905882,22.52572317,24.54238924,28.85716092,31.60955256,,,,,,,,,,,,,,,,,,,,,,,,,23.06165402,23.59142006,29.27699257,32.87868912,35.17283727,36.36864542,31.92647885,32.71257151,34.89544458,
Angola,AGO,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.10139103,27.57757409,22.61548357,24.66904273,22.84935465,17.28055589,20.99253118,16.07842517,13.3882268,12.38606025,12.14158575,14.62271293,17.03643743,21.33177293,39.69754166,34.95411943,35.26250445,32.17678016,32.91817311,,
Albania,ALB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66779525,47.80956261,44.61621279,57.3506845,58.53382546,62.10431454,62.72916705,67.4383195,65.54072548,63.8999055,67.00627924,70.4855788,75.54531716,78.29169671,75.48096599,76.18163332,79.07782073,82.27969612,84.28860872,85.07473574,85.75902973,
Arab World,ARB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,22.89247488,22.87351108,22.75610024,23.73481229,24.66558023,30.13158879,31.98190679,34.33783687,32.50294106,32.59188198,31.88963796,30.01855934,32.69182175,32.8657204,21.65465109,25.92897954,27.16710687,30.00523899,34.72317146,30.79520885,28.2498414,31.21089524,38.95452536,46.62205091,50.96308897,55.67847447,62.283834,61.84890882,63.81126544,59.36324465,52.8239274,54.59389158,54.16614579,55.82973026,55.76212295,54.41095736,52.43208989,53.07323052,58.57815373,57.72093014,54.08258813,61.08875818,64.41665996,63.5660604,59.77274928,56.14045461,56.77853131,60.95450234,57.62328408,72.74211221,67.48775153,62.84308849,61.33250427,66.32406003,71.51022783,
United Arab Emirates,ARE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,15.12561521,22.05843241,16.00657176,19.09551178,15.29404853,14.55511699,16.06467038,19.65872441,23.12840878,30.53851717,33.4682938,41.79235516,41.13229866,43.67137751,41.51151638,31.16615178,35.10948597,34.91050263,33.50391773,33.90672871,33.71149185,32.19120261,32.75711946,35.54480883,35.50137686,33.13568854,41.23354032,43.05628564,43.92745619,45.75665196,48.85514596,48.95204515,59.72369,58.20139254,79.53776216,74.85729492,64.51425902,62.88183051,74.31768618,77.78668494,
Argentina,ARG,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,21.13925102,16.60599886,14.31011669,16.01761795,15.96785971,15.12887524,15.95036979,18.42667446,20.41522143,20.87808736,22.99616804,18.02169837,22.67296205,23.26092822,26.07637926,22.1623211,19.05432005,22.47230597,24.54096738,25.86769055,24.95573441,25.70341102,21.01956298,21.02593844,21.97477621,17.30336287,19.58474074,22.0526189,25.14760548,20.10465632,11.48109468,10.55677756,13.69143719,19.21862334,20.770289,20.14127137,22.69048015,26.47018463,28.65068486,31.44367759,31.84862106,27.13925159,27.92706955,30.10405723,25.64478311,25.79729457,24.83430695,24.32862131,21.03691216,22.38781819,23.22874645,22.92945243,25.84388315,26.66067608,26.64401767,
Armenia,ARM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.87204656,69.11378188,13.09741126,7.707153716,8.222912228,8.733563209,10.05221842,11.08461177,14.70451086,13.44964842,15.55159851,14.39195936,14.98698077,16.29839157,18.28697982,21.95239928,19.83583669,25.94146252,26.33909377,29.83045065,31.55695244,33.9221955,34.56830256,
American Samoa,ASM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
