Coutry,Year,CentralGoveDebtGDP
Australia,1/01/1990 0:00,12.2461557
Australia,1/01/1991 0:00,11.93351231
Australia,1/01/1992 0:00,14.15705332
Australia,1/01/1993 0:00,17.88439729
Australia,1/01/1994 0:00,20.18859293
Australia,1/01/1999 0:00,31.14440586
Australia,1/01/2000 0:00,29.60976385
Australia,1/01/2001 0:00,27.44969405
Australia,1/01/2002 0:00,25.30356209
Australia,1/01/2003 0:00,24.65218871
Australia,1/01/2004 0:00,22.60573406
Australia,1/01/2005 0:00,22.55231177
Australia,1/01/2006 0:00,21.65483319
Australia,1/01/2007 0:00,20.27246427
Australia,1/01/2008 0:00,18.28626377
Australia,1/01/2009 0:00,24.00189297
Australia,1/01/2010 0:00,29.2400245
Australia,1/01/2011 0:00,30.513578
Australia,1/01/2012 0:00,40.40963051
Australia,1/01/2013 0:00,38.33918379
Fiji,1/01/1991 0:00,36.84182174
Fiji,1/01/1992 0:00,33.68674803
Fiji,1/01/1993 0:00,36.55284553
Fiji,1/01/1994 0:00,36.63785361
"Hong Kong SAR, China",1/01/2002 0:00,27.23547751
"Hong Kong SAR, China",1/01/2003 0:00,29.25710654
"Hong Kong SAR, China",1/01/2004 0:00,30.80977368
"Hong Kong SAR, China",1/01/2005 0:00,31.57687957
"Hong Kong SAR, China",1/01/2006 0:00,31.28125121
"Hong Kong SAR, China",1/01/2007 0:00,30.11159727
"Hong Kong SAR, China",1/01/2008 0:00,29.89035854
"Hong Kong SAR, China",1/01/2009 0:00,33.22197616
Indonesia,1/01/1990 0:00,42.42925462
Indonesia,1/01/1991 0:00,36.64740195
Indonesia,1/01/1992 0:00,39.3048876
Indonesia,1/01/1993 0:00,37.4975614
Indonesia,1/01/1994 0:00,36.57058927
Indonesia,1/01/1995 0:00,30.80432429
Indonesia,1/01/1996 0:00,23.92314255
Indonesia,1/01/1997 0:00,72.48536732
Indonesia,1/01/1998 0:00,55.20408753
Indonesia,1/01/1999 0:00,45.20796667
Indonesia,1/01/2002 0:00,32.22412653
Indonesia,1/01/2003 0:00,29.71739684
Indonesia,1/01/2010 0:00,26.16613305
Indonesia,1/01/2011 0:00,24.86518679
Indonesia,1/01/2012 0:00,25.03435411
Japan,1/01/2010 0:00,174.7508833
Japan,1/01/2011 0:00,189.5273777
Japan,1/01/2012 0:00,195.5631786
Japan,1/01/2013 0:00,201.1292822
"Korea, Rep.",1/01/1990 0:00,7.406481204
"Korea, Rep.",1/01/1991 0:00,10.1912025
"Korea, Rep.",1/01/1992 0:00,9.977212517
"Korea, Rep.",1/01/1993 0:00,9.216920891
"Korea, Rep.",1/01/1994 0:00,8.266541562
"Korea, Rep.",1/01/1995 0:00,7.310484775
"Korea, Rep.",1/01/1996 0:00,6.939824979
"Korea, Rep.",1/01/1997 0:00,8.823408054
Mongolia,1/01/1992 0:00,20.62167338
Mongolia,1/01/1993 0:00,41.4415301
