Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,-18659217.88,-22569832.4,-44301675.98,-46703910.61,-158156424.6,-209497206.7,43798882.68,41731843.58,81061452.51,-279329.6089,-69106145.25,-195810055.9,-18770949.72,-435513966.5,207145251.4,308759776.5,-340251396.6,-165553072.6,270888268.2,104963491.3,310555693.7,258268156.4,111731.8436,171675977.7,-460111731.8,-260558659.2,90837988.83,-330558659.2,-141843575.4,
Andorra,AND,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,-99600000,53600000,-205800000,-67300000,-138800000,-450600000,-243200000,-537200000,-166900000,26200000,-143300000,,,,,,,,,,,,,,,,,,,-1022813072,-857658425.1,-1650256785,-2801337598,-5752909769,-5047060790,-4017732018,
Angola,AGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,195000000,-303000000,447000000,-469000000,-132000000,-235500000,-579600000,-734776000,-668500000,-339800000,-295047000,3266378000,-883540000,-1867130000,-1710410000,795650000,-1430930000,-150093385.3,-719558880.5,681237662,5137882651,10689818936,10581250705,7194246953,-7571651746,7505954235,13084636207,13853270077,8348366820,-3722412047,
Albania,ALB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,16000000,45000000,-66800000,-38300000,-28100000,-36400000,-3200000,5200000,-27100000,-39300000,-118300000,-168000000,-50700000,14900000,-157300000,-11500000,-107300000,-272232500,-65070000,-155400000,-156300000,-217300000,-407520000,-406814698.3,-357925427.3,-571475353.7,-670904254.7,-1150813004,-2018430634,-1851316059,-1352774950,-1668841778,-1257971074,-1395215547,-1702759964,
Arab World,ARB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,651000000,1126000000,1856000000,-513000000,-4774000000,-4712000000,-2353000000,-2436000000,-2495000000,-952000000,-2859000000,-4235000000,-1572000000,-1305000000,4552000000,-647000000,-5547754559,-8205889940,-10979452970,-5117957254,-6769978160,-12138068595,-14481998042,-11942825328,-8980617893,-3780423241,8766610000,8139930000,3211790000,5273750000,7767040000,7354350000,6755860000,8337560772,1359622272,-2270981823,-1169650773,-4568153369,-5876823918,
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67730000,-103780000,-220677007,-322209053,-335738765,-416148343.9,-312542932.9,-301667882.5,-221164164.3,-147810525.6,-173510013.1,-78841446.25,-123899753.9,-152931434.5,-677270882.4,-1658884234,-1425500969,-1261431042,-1058867123,-1057850953,-844675077.3,-849083842.5,
American Samoa,ASM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
