Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,7262569.832,8938547.486,10893854.75,13407821.23,14804469.27,17932960.89,14469273.74,13351955.31,9553072.626,16368715.08,19162011.17,20726256.98,40502793.3,38251396.65,52983240.22,49743016.76,32167597.77,32513966.48,35681564.25,42374130.64,62185144.33,90837988.83,71787709.5,59106145.25,45921787.71,40446927.37,36201117.32,34245810.06,41843575.42,
Andorra,AND,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,46700000,51900000,43600000,41200000,27700000,20400000,29200000,23800000,19200000,23300000,20100000,,,,,,,,,,,,,,,,,,,139728480.8,102333773.1,167272337.7,143518846.4,172912549.9,205765502.3,244693119.1,
Angola,AGO,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600000,15000000,15692000,11300000,13000000,15932000,43340000,112130000,34470000,24140000,34370000,22970000,17692306.6,12260060,33009710,25750697.7,145048380.4,622557381.4,422299216.8,131333434.1,134034437.3,209812228.2,259820383.6,818279811.4,645563375.1,
Albania,ALB,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,7400000,12000000,14700000,7700000,4300000,2300000,800000,1100000,900000,400000,,800000,2600000,64900000,55100000,72000000,83700000,61400000,86070000,85500000,115900000,162500000,148270000,194768561.2,203734449.1,226671132.5,332119529.5,382430000,472920888.5,377375859,379955654.3,301823859.3,242108239.8,182818866.3,167064779.5,
Arab World,ARB,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28719733637,46546101469,65252186919,67353592338,48045010394,44541368947,55783792000,61111218245,62828237558,,
United Arab Emirates,ARE,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,59000000,136000000,348000000,737000000,1305000000,946000000,558000000,474000000,298000000,282000000,392000000,252000000,211000000,276000000,1854000000,1746000000,2374479691,2535379433,3480077307,4368380447,4443856689,5487181379,6133659975,6075111849,7420150428,5357943451,3039170000,3103890000,3720770000,4311810000,5685250000,6624590000,5620410000,3523207674,2762740598,3249373923,2351303053,2677982490,2630769525,
Armenia,ARM,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54131300,78040000,138950000,103113600,93566080,103680287.5,103736242.6,136576541.3,165952913.1,394361010.5,484855678.8,655963804.9,956460187.4,1133253117,875801113.9,1049089089,1065546494,1115220240,1259148958,1212901433,
American Samoa,ASM,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
