Country,Year,GC.DOD.TOTL.GD.ZS
Argentina,1/01/1994 0:00,31.792
Argentina,1/01/1995 0:00,34.355
Argentina,1/01/1996 0:00,36.403
Argentina,1/01/1997 0:00,35.428
Argentina,1/01/1998 0:00,38.181
Argentina,1/01/1999 0:00,43.492
Argentina,1/01/2000 0:00,45.621
Argentina,1/01/2001 0:00,53.621
Argentina,1/01/2002 0:00,164.991
Argentina,1/01/2003 0:00,139.447
Argentina,1/01/2004 0:00,127.033
Argentina,1/01/2005 0:00,87.119
Argentina,1/01/2006 0:00,76.443
Argentina,1/01/2007 0:00,67.386
Argentina,1/01/2008 0:00,58.511
Argentina,1/01/2009 0:00,58.7
Argentina,1/01/2010 0:00,49.178
Argentina,1/01/2011 0:00,44.94
Argentina,1/01/2012 0:00,47.727
Albania,1/01/1997 0:00,84.604
Albania,1/01/1998 0:00,75.713
Albania,1/01/1999 0:00,72.67
Albania,1/01/2000 0:00,69.634
Albania,1/01/2001 0:00,65.86
Albania,1/01/2002 0:00,65.464
Albania,1/01/2003 0:00,60.708
Albania,1/01/2004 0:00,57.413
Albania,1/01/2005 0:00,57.843
Albania,1/01/2006 0:00,56.079
Albania,1/01/2007 0:00,53.431
Albania,1/01/2008 0:00,54.704
Albania,1/01/2009 0:00,59.451
Albania,1/01/2010 0:00,58.531
Albania,1/01/2011 0:00,60.264
Albania,1/01/2012 0:00,62.442
Algeria,1/01/1994 0:00,98.376
Algeria,1/01/1995 0:00,116.195
Algeria,1/01/1996 0:00,98.148
Algeria,1/01/1997 0:00,69.855
Algeria,1/01/1998 0:00,72.863
Algeria,1/01/1999 0:00,82.019
Algeria,1/01/2000 0:00,62.813
Algeria,1/01/2001 0:00,58.264
Algeria,1/01/2002 0:00,54.683
Algeria,1/01/2003 0:00,44.535
Algeria,1/01/2004 0:00,36.846
Algeria,1/01/2005 0:00,27.218
Algeria,1/01/2006 0:00,26.865
Algeria,1/01/2007 0:00,13.935
Algeria,1/01/2008 0:00,8.822
Algeria,1/01/2009 0:00,10.814
Algeria,1/01/2010 0:00,11.663
Algeria,1/01/2011 0:00,9.947
Algeria,1/01/2012 0:00,9.553
Angola,1/01/2000 0:00,110.223
Angola,1/01/2001 0:00,107.599
Angola,1/01/2002 0:00,74.804
Angola,1/01/2003 0:00,67.443
Angola,1/01/2004 0:00,54.09
Angola,1/01/2005 0:00,44.802
Angola,1/01/2006 0:00,21.616
Angola,1/01/2007 0:00,21.402
Angola,1/01/2008 0:00,31.617
Angola,1/01/2009 0:00,49.877
Angola,1/01/2010 0:00,39.803
Angola,1/01/2011 0:00,33.718
Angola,1/01/2012 0:00,29.29
Antigua and Barbuda,1/01/1997 0:00,86.553
Antigua and Barbuda,1/01/1998 0:00,102.063
Antigua and Barbuda,1/01/1999 0:00,104.181
Antigua and Barbuda,1/01/2000 0:00,110.838
Antigua and Barbuda,1/01/2001 0:00,122.025
Antigua and Barbuda,1/01/2002 0:00,128.165
Antigua and Barbuda,1/01/2003 0:00,127.519
Antigua and Barbuda,1/01/2004 0:00,122.985
Antigua and Barbuda,1/01/2005 0:00,94.99
Antigua and Barbuda,1/01/2006 0:00,90.868
Antigua and Barbuda,1/01/2007 0:00,79.202
Antigua and Barbuda,1/01/2008 0:00,77.271
Antigua and Barbuda,1/01/2009 0:00,102.46
Antigua and Barbuda,1/01/2010 0:00,90.782
Antigua and Barbuda,1/01/2011 0:00,92.662
Antigua and Barbuda,1/01/2012 0:00,87.82
Antigua and Barbuda,1/01/2013 0:00,92.238
Armenia,1/01/1996 0:00,32.372
Armenia,1/01/1997 0:00,36.835
Armenia,1/01/1998 0:00,35.769
Armenia,1/01/1999 0:00,39.191
Armenia,1/01/2000 0:00,39.362
Armenia,1/01/2001 0:00,37.824
Armenia,1/01/2002 0:00,38.105
Armenia,1/01/2003 0:00,32.88
Armenia,1/01/2004 0:00,26.432
Armenia,1/01/2005 0:00,20.467
Armenia,1/01/2006 0:00,16.183
Armenia,1/01/2007 0:00,14.249
Armenia,1/01/2008 0:00,14.631
Armenia,1/01/2009 0:00,34.136
Armenia,1/01/2010 0:00,33.741
Armenia,1/01/2011 0:00,35.691
Armenia,1/01/2012 0:00,38.931
Australia,1/01/1994 0:00,31.729
Australia,1/01/1995 0:00,31.099
Australia,1/01/1996 0:00,29.31
Australia,1/01/1997 0:00,25.888
Australia,1/01/1998 0:00,23.757
Australia,1/01/1999 0:00,22.58
Australia,1/01/2000 0:00,19.537
Australia,1/01/2001 0:00,17.167
Australia,1/01/2002 0:00,15.071
Australia,1/01/2003 0:00,13.189
Australia,1/01/2004 0:00,11.917
Australia,1/01/2005 0:00,10.887
Australia,1/01/2006 0:00,9.961
Australia,1/01/2007 0:00,9.677
Australia,1/01/2008 0:00,11.722
Australia,1/01/2009 0:00,16.74
Australia,1/01/2010 0:00,20.481
Australia,1/01/2011 0:00,24.272
Australia,1/01/2012 0:00,27.161
Australia,1/01/2013 0:00,28.79
Austria,1/01/1994 0:00,64.035
Austria,1/01/1995 0:00,68.199
Austria,1/01/1996 0:00,68.135
Austria,1/01/1997 0:00,64.116
Austria,1/01/1998 0:00,64.426
Austria,1/01/1999 0:00,66.818
Austria,1/01/2000 0:00,66.193
Austria,1/01/2001 0:00,66.813
Austria,1/01/2002 0:00,66.213
Austria,1/01/2003 0:00,65.272
Austria,1/01/2004 0:00,64.706
Austria,1/01/2005 0:00,64.193
Austria,1/01/2006 0:00,62.306
Austria,1/01/2007 0:00,60.223
Austria,1/01/2008 0:00,63.83
Austria,1/01/2009 0:00,69.171
Austria,1/01/2010 0:00,72.269
Austria,1/01/2011 0:00,72.811
Austria,1/01/2012 0:00,74.081
Austria,1/01/2013 0:00,74.193
Azerbaijan,1/01/2000 0:00,22.837
Azerbaijan,1/01/2001 0:00,24.204
Azerbaijan,1/01/2002 0:00,22.853
Azerbaijan,1/01/2003 0:00,21.687
Azerbaijan,1/01/2004 0:00,20.169
Azerbaijan,1/01/2005 0:00,13.334
Azerbaijan,1/01/2006 0:00,10.241
Azerbaijan,1/01/2007 0:00,8.608
Azerbaijan,1/01/2008 0:00,7.297
Azerbaijan,1/01/2009 0:00,11.792
