country Code,Year,DebtGDP
AUS,1995,59.58749
AUS,1996,57.26365
AUS,1997,54.2569
AUS,1998,50.29819
AUS,1999,43.899
AUS,2000,40.9093
AUS,2001,39.90852
AUS,2002,39.12854
AUS,2003,36.87484
AUS,2004,36.21808
AUS,2005,35.57854
AUS,2006,35.31974
AUS,2007,33.31228
AUS,2008,34.3679
AUS,2009,42.99416
AUS,2010,46.28595
AUS,2011,50.43701
AUS,2012,62.57109
AUS,2013,58.5051
AUS,2014,64.17809
AUT,1995,69.34107
AUT,1996,69.86779
AUT,1997,65.51575
AUT,1998,67.29469
AUT,1999,70.53667
AUT,2000,70.53651
AUT,2001,71.61172
AUT,2002,73.37479
AUT,2003,72.01047
AUT,2004,71.26021
AUT,2005,75.84488
AUT,2006,72.37356
AUT,2007,68.72357
AUT,2008,74.03658
AUT,2009,86.25144
AUT,2010,90.30674
AUT,2011,91.32893
AUT,2012,97.52871
AUT,2013,93.60936
AUT,2014,102.1861
BEL,1995,140.3688
BEL,1996,142.2427
BEL,1997,136.8264
BEL,1998,137.7972
BEL,1999,126.4253
BEL,2000,120.3531
BEL,2001,118.9394
BEL,2002,118.0847
BEL,2003,114.5527
BEL,2004,110.2009
BEL,2005,107.7919
BEL,2006,99.91231
BEL,2007,93.69632
BEL,2008,101.133
BEL,2009,109.5225
BEL,2010,107.7668
BEL,2011,110.1386
BEL,2012,120.1808
BEL,2013,118.004
BEL,2014,129.4067
BEL,2015,126.4048
CAN,1995,123.6979
CAN,1996,129.8529
CAN,1997,123.5018
CAN,1998,122.1388
CAN,1999,111.7176
CAN,2000,102.2245
CAN,2001,102.063
CAN,2002,100.5577
CAN,2003,95.77922
CAN,2004,91.30597
CAN,2005,90.12638
CAN,2006,88.80819
CAN,2007,83.86369
CAN,2008,88.08517
CAN,2009,102.055
CAN,2010,103.8424
CAN,2011,106.7809
CAN,2012,109.9478
CAN,2013,105.7466
CAN,2014,107.7244
CZE,1995,17.63979
CZE,1996,16.21811
CZE,1997,16.58702
CZE,1998,17.49072
CZE,1999,23.3932
CZE,2000,24.01091
