Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724310000,2758230000,2973770000,3172020000,3208640000,3353480000,3341250000,3268930000,3284140000,3531090000,3572640000,3586230000,3670690000,3536540000,3293180000,3107000000,,,,,,
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,596935281,624689628.8,675600245,728219136.5,769136209.8,773306491.3,798854925,821531015.7,833550042.5,833896353.5,852314857,851185806.5,861795511.9,877050290.5,892702898,913426423.1,943143123,995460428.2,1046172410,1096671469,1138140932,1167118008,1177963048,1165812457,1193596044,1226509383,1283538905,1399926028,1444650696,1503868100,1521400000,1613700000,1717410000,1923910000,2079160000,2242160000,2344970000,2346800000,2145110000,2063210000,1952870000,1859080000,1826360000,1825200000,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8547E+11,2.01132E+11,2.03255E+11,2.25969E+11,2.3852E+11,2.71293E+11,2.8109E+11,3.40177E+11,3.68865E+11,3.91416E+11,4.47916E+11,4.56692E+11,4.62686E+11,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,4.43529E+11,4.55948E+11,4.91968E+11,5.19518E+11,5.21596E+11,5.20031E+11,5.13791E+11,4.78339E+11,3.60189E+11,3.72796E+11,4.11567E+11,4.57662E+11,4.93818E+11,5.27421E+11,5.44508E+11,5.60909E+11,5.84585E+11,6.65385E+11,,,,,,,,,,,,,
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,3.18307E+11,3.36596E+11,3.46521E+11,3.5035E+11,3.45965E+11,3.52125E+11,3.71975E+11,3.69045E+11,3.63804E+11,3.9959E+11,3.61326E+11,2.54414E+11,2.36096E+11,2.58761E+11,2.80238E+11,3.1751E+11,3.46403E+11,3.08861E+11,3.36685E+11,3.82142E+11,4.07618E+11,4.39984E+11,4.58601E+11,4.85079E+11,5.12774E+11,5.42109E+11,5.71551E+11,6.05273E+11,6.5085E+11,6.72653E+11,6.97609E+11,7.15398E+11,7.25557E+11,7.3361E+11,7.4953E+11,
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,1.84469E+11,2.14956E+11,2.61041E+11,2.56891E+11,3.10642E+11,3.84807E+11,4.02736E+11,3.75675E+11,3.57846E+11,3.72221E+11,3.58841E+11,3.05165E+11,3.15486E+11,3.07224E+11,3.45129E+11,4.08384E+11,4.11896E+11,4.25674E+11,4.31042E+11,4.60768E+11,4.91583E+11,5.20087E+11,5.62684E+11,5.64327E+11,5.80705E+11,6.43728E+11,6.52734E+11,6.68618E+11,7.2746E+11,7.97052E+11,8.3575E+11,9.17965E+11,9.47197E+11,9.7743E+11,9.26184E+11,9.41331E+11,9.90354E+11,1.05863E+12,1.10437E+12,1.15485E+12,
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,2.02055E+11,2.13023E+11,2.11208E+11,1.99996E+11,2.20257E+11,2.43536E+11,2.4193E+11,2.49652E+11,2.61692E+11,2.87022E+11,2.95764E+11,3.12499E+11,3.17587E+11,3.26517E+11,3.44586E+11,3.44488E+11,3.37535E+11,3.60941E+11,3.44676E+11,3.79912E+11,3.95685E+11,3.73172E+11,3.54673E+11,3.68417E+11,3.76566E+11,3.47997E+11,3.75404E+11,3.86329E+11,3.76451E+11,3.48231E+11,3.39877E+11,3.82939E+11,4.28665E+11,4.53985E+11,4.80481E+11,4.6681E+11,4.92609E+11,5.32565E+11,5.5307E+11,5.34346E+11,5.3013E+11,5.06757E+11,4.51549E+11,4.91452E+11,5.35828E+11,5.85116E+11,6.34283E+11,6.84807E+11,7.05865E+11,7.06218E+11,7.72967E+11,8.37791E+11,8.44508E+11,8.68875E+11,8.72816E+11,
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18274E+12,1.04436E+12,6.07815E+11,5.54327E+11,5.84261E+11,6.24575E+11,6.61209E+11,6.83168E+11,7.3304E+11,7.5723E+11,8.01906E+11,8.78542E+11,9.94389E+11,1.13401E+12,1.25272E+12,1.42641E+12,1.61467E+12,1.83668E+12,1.96341E+12,1.68558E+12,1.72267E+12,1.80363E+12,1.93349E+12,1.9973E+12,2.06721E+12,
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
