Country,Year,GDPWorld
Afghanistan,1/01/2002 0:00,0.026
Afghanistan,1/01/2003 0:00,0.027
Afghanistan,1/01/2004 0:00,0.024
Afghanistan,1/01/2005 0:00,0.026
Afghanistan,1/01/2006 0:00,0.026
Afghanistan,1/01/2007 0:00,0.028
Afghanistan,1/01/2008 0:00,0.028
Afghanistan,1/01/2009 0:00,0.034
Afghanistan,1/01/2010 0:00,0.035
Afghanistan,1/01/2011 0:00,0.036
Albania,1/01/1990 0:00,0.035
Albania,1/01/1991 0:00,0.025
Albania,1/01/1992 0:00,0.021
Albania,1/01/1993 0:00,0.023
Albania,1/01/1994 0:00,0.024
Albania,1/01/1995 0:00,0.025
Albania,1/01/1996 0:00,0.027
Albania,1/01/1997 0:00,0.023
Albania,1/01/1998 0:00,0.025
Albania,1/01/1999 0:00,0.027
Albania,1/01/2000 0:00,0.027
Albania,1/01/2001 0:00,0.029
Albania,1/01/2002 0:00,0.029
Albania,1/01/2003 0:00,0.03
Albania,1/01/2004 0:00,0.029
Albania,1/01/2005 0:00,0.029
Albania,1/01/2006 0:00,0.029
Albania,1/01/2007 0:00,0.03
Albania,1/01/2008 0:00,0.031
Albania,1/01/2009 0:00,0.032
Albania,1/01/2010 0:00,0.032
Albania,1/01/2011 0:00,0.032
Algeria,1/01/1990 0:00,0.389
Algeria,1/01/1991 0:00,0.377
Algeria,1/01/1992 0:00,0.349
Algeria,1/01/1993 0:00,0.334
Algeria,1/01/1994 0:00,0.321
Algeria,1/01/1995 0:00,0.322
Algeria,1/01/1996 0:00,0.322
Algeria,1/01/1997 0:00,0.312
Algeria,1/01/1998 0:00,0.32
Algeria,1/01/1999 0:00,0.319
Algeria,1/01/2000 0:00,0.316
Algeria,1/01/2001 0:00,0.319
Algeria,1/01/2002 0:00,0.327
Algeria,1/01/2003 0:00,0.338
Algeria,1/01/2004 0:00,0.34
Algeria,1/01/2005 0:00,0.346
Algeria,1/01/2006 0:00,0.334
Algeria,1/01/2007 0:00,0.329
Algeria,1/01/2008 0:00,0.328
Algeria,1/01/2009 0:00,0.336
Algeria,1/01/2010 0:00,0.331
Algeria,1/01/2011 0:00,0.328
Angola,1/01/1990 0:00,0.098
Angola,1/01/1991 0:00,0.097
Angola,1/01/1992 0:00,0.083
Angola,1/01/1993 0:00,0.062
Angola,1/01/1994 0:00,0.061
Angola,1/01/1995 0:00,0.067
Angola,1/01/1996 0:00,0.078
Angola,1/01/1997 0:00,0.079
Angola,1/01/1998 0:00,0.077
Angola,1/01/1999 0:00,0.077
Angola,1/01/2000 0:00,0.075
Angola,1/01/2001 0:00,0.076
Angola,1/01/2002 0:00,0.085
Angola,1/01/2003 0:00,0.084
