Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7402000,4882000,6735000,7599000,9024000,9925000,9397000,8493000,10169000,
Angola,AGO,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126250000,143300000,155918000,102543000,91674000,105837000,132119000,341625000,194544000,247473000,172718000,190759000,155108000,165288000,172037000,183405000,325507000,920151000,711465000,501508000,423540000,200746000,169628000,653897000,933324000,1030864000,
Albania,ALB,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765000,2021000,3039000,10199000,8822000,7686000,8233000,9827000,10865000,13608000,13692000,24804000,19599000,24221000,31337000,48483000,61973000,77317000,69930000,55499000,87196000,85574000,82637000,95014000,
Arab World,ARB,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409000,4440000,8459000,9870000,16433000,20645000,24399000,19749000,22636000,31513000,29932000,55700000,38707000,75269000,112879000,88816000,100673000,90810000,171138000,167307000,172741000,210187000,
American Samoa,ASM,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,350000,10133000,9844000,20261000,21169000,35541000,65088000,41394000,26092000,25101000,29872000,39892000,62509000,104227000,123616000,86791000,100777000,966974000,959922000,958451000,288786000,
Burundi,BDI,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,191000,193000,286000,191000,191000,415000,487000,649000,954000,1369000,4331000,4279000,4755000,5236000,9460000,10639000,14259000,17767000,18558000,16438000,14067000,13892000,15664000,12987000,13069000,11814000,9611000,8978000,8797000,8675000,8664000,6952000,7152000,8185000,17073000,12832000,6299000,6903000,8338000,4420000,1913000,2154000,3138000,3777000,4435000,
Belgium,BEL,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,367000,970000,576000,432000,798000,820000,936000,859000,2010000,3114000,14355000,15684000,16494000,20869000,24102000,20743000,29167000,23546000,14953000,16889000,16677000,14887000,12406000,13617000,19793000,22763000,17765000,22042000,25616000,24986000,21551000,16945000,25338000,13458000,15331000,16306000,14419000,11787000,46416000,27698000,31114000,41657000,45487000,43594000,24663000,
Burkina Faso,BFA,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,359000,545000,539000,767000,1096000,1520000,1584000,1712000,2632000,4525000,11550000,12070000,12076000,10560000,8772000,12799000,15126000,18549000,18369000,20931000,15513000,21144000,18821000,17990000,16422000,19792000,17621000,18403000,18777000,21081000,14311000,13095000,17003000,16091000,17262000,17499000,17553000,17203000,14820000,15498000,18075000,20968000,21015000,22559000,23471000,
Bangladesh,BGD,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,0,3964000,11460000,25230000,36697000,43868000,52654000,62671000,70958000,91357000,112727000,115855000,121756000,129175000,144840000,178219000,175724000,189843000,194092000,180313000,153982000,159299000,175718000,180037000,201265000,175631000,165224000,189360000,197578000,181545000,173462000,174278000,201357000,237203000,231163000,256685000,249419000,227790000,237001000,311586000,269835000,296437000,311786000,
Bulgaria,BGR,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,43070000,73215000,109230000,204457000,217914000,298805000,415827000,483095000,675806000,509655000,146213000,227427000,243712000,169475000,574644000,570151000,544330000,609967000,503987000,618946000,589055000,405611000,497553000,563567000,673980000,793871000,1412938000,1688707000,881272000,664290000,884621000,886884000,977708000,1001228000,
Bahrain,BHR,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146683000,128653000,105858000,85646000,96190000,131061000,175587000,247223000,300336000,338300000,299926000,264138000,275077000,268666000,242190000,328955000,
Belarus,BLR,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11878000,31021000,73448000,96464000,120351000,115376000,120131000,126943000,117407000,98218000,94827000,126354000,179654000,268882000,340839000,357428000,326836000,476438000,881063000,1104534000,1055931000,1104052000,
Belize,BLZ,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,11000,10000,10000,285000,241000,263000,200000,255000,308000,563000,3071000,2411000,3247000,3982000,5497000,7478000,6258000,5819000,5409000,6852000,6215000,5391000,5848000,6594000,8141000,11222000,12952000,14228000,20920000,20213000,26514000,37018000,31106000,48468000,65918000,70498000,62670000,61471000,57306000,53881000,55971000,57089000,49055000,30036000,44131000,
Bermuda,BMU,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,11178000,9891000,14055000,18913000,20967000,28241000,41682000,62515000,91589000,131969000,221915000,235924000,413612000,344971000,364136000,169438000,110846000,102831000,123397000,128053000,146152000,139955000,122982000,141159000,161565000,174576000,183650000,212246000,166214000,131914000,182487000,184591000,116218000,130776000,138803000,172389000,230940000,198608000,179760000,127982000,85883000,87387000,89784000,120633000,166120000,
Brazil,BRA,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,229459000,304756000,433728000,758220000,1485660000,2096236000,1767067000,2073324000,3215232000,4801879000,7927387000,10465207000,11651378000,9649833000,9370497000,9129217000,7805142000,7356768000,12653377000,5239349000,2279034000,3550845000,3823571000,4205933000,6214895000,10538943000,10469052000,12175393000,15470646000,17773922000,17148128000,17206469000,14964730000,16350872000,14757852000,13308357000,14817089000,14542601000,16188425000,14053583000,13855305000,17292537000,14886174000,18298026000,17223789000,
Barbados,BRB,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,2000,3000,6000,33000,28000,153000,516000,667000,2454000,2273000,2007000,1807000,2475000,2434000,2630000,2614000,2345000,2149000,2425000,2314000,1934000,2085000,2520000,5446000,2480000,4764000,8215000,38103000,34461000,40847000,39949000,60585000,38250000,40542000,
Botswana,BWA,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,446000,649000,1248000,2204000,3026000,3367000,3181000,3464000,4566000,5779000,8169000,7770000,10507000,13224000,15768000,20862000,28070000,35404000,36302000,35281000,38832000,34941000,35358000,32921000,30461000,27459000,78347000,29077000,23214000,21712000,16802000,12984000,16270000,12541000,11921000,12918000,12377000,10591000,8461000,10941000,19639000,22537000,24666000,37805000,23805000,
Central African Republic,CAF,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,694000,566000,552000,1165000,1206000,2125000,900000,1224000,1365000,392000,3284000,4426000,5565000,9438000,8763000,9894000,12869000,12697000,10955000,11972000,11752000,8186000,8676000,5930000,10705000,5722000,4907000,4037000,7993000,7039000,6385000,4483000,865000,685000,3140000,1298000,18329000,20778000,6742000,3633000,1516000,592000,2239000,853000,2894000,
Canada,CAN,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,539179000,822655000,820972000,997994000,1181891000,1063865000,1814676000,2196513000,3206312000,3248248000,3730970000,3404903000,3439122000,4791933000,5996225000,5495966000,6918225000,7225807000,7090246000,7244792000,7988784000,6375391000,7245648000,6968044000,6468610000,9274329000,11312714000,9221988000,6278325000,33151912000,37703401000,38879868000,4835884000,7762314000,
Cote d'Ivoire,CIV,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,12107000,15973000,18987000,28865000,42472000,59076000,70961000,110874000,189545000,257449000,684893000,827585000,895572000,753235000,790165000,757409000,785693000,591696000,488676000,580485000,640537000,661649000,565227000,509331000,457015000,421132000,514752000,521271000,713400000,619560000,541079000,251511000,309555000,141940000,57697000,51966000,52273000,85776000,221211000,290696000,116998000,137398000,177202000,291496000,185298000,
Cameroon,CMR,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,4886000,6096000,7113000,11069000,13129000,17196000,20928000,31107000,48317000,71296000,148920000,168949000,188011000,178760000,210417000,180193000,237837000,252213000,287167000,197562000,247258000,206828000,190484000,188455000,180878000,214157000,261140000,232235000,235621000,263776000,289516000,152770000,156180000,185616000,246471000,243036000,129861000,122570000,96669000,58500000,43283000,86303000,61759000,58492000,149530000,
"Congo, Rep.",COG,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,3005000,3016000,2866000,4562000,5572000,9201000,11825000,11883000,8161000,32579000,68156000,124281000,115019000,114209000,116658000,166939000,136109000,136997000,131720000,140886000,162713000,96170000,68221000,54651000,251601000,98820000,209627000,66162000,24922000,21534000,38554000,37201000,10092000,30069000,88602000,35102000,33910000,34763000,60526000,64556000,24815000,22145000,24992000,33404000,36335000,
Colombia,COL,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,64630000,70915000,86155000,108924000,138793000,142182000,163677000,160342000,201721000,257991000,694653000,751756000,1098833000,991460000,943799000,1228705000,1147648000,1429917000,1545177000,1767005000,1705391000,1559985000,1397646000,1305987000,1681212000,2000980000,2034094000,1994017000,1928881000,2347537000,2130366000,2604008000,2146737000,2368928000,2364348000,2749555000,2524117000,2948115000,2990283000,2885836000,3199874000,3686325000,3867071000,3789438000,4539205000,
Comoros,COM,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,15000,13000,19000,34000,45000,114000,122000,112000,103000,248000,402000,721000,745000,1205000,1798000,1830000,1115000,1382000,916000,1360000,866000,2289000,2507000,648000,804000,560000,644000,818000,441000,957000,1453000,928000,942000,918000,1109000,1453000,1420000,13354000,4233000,2937000,1179000,1726000,2282000,136000,133000,
Cabo Verde,CPV,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,211000,895000,1981000,2988000,3018000,2218000,3998000,4035000,2453000,2013000,2785000,3108000,2118000,3241000,4143000,2899000,4303000,3907000,3918000,4845000,3710000,6708000,4871000,6024000,6875000,6367000,6524000,6644000,7014000,7907000,10225000,13171000,15618000,18089000,
Costa Rica,CRI,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,15252000,16556000,19183000,25665000,34013000,41790000,48046000,59324000,93694000,125426000,185774000,147451000,125832000,557884000,267651000,367926000,271686000,193533000,235243000,174274000,209867000,236196000,243476000,211219000,218098000,252882000,217909000,210655000,215894000,196659000,259670000,279094000,278458000,296743000,217898000,271926000,291818000,345530000,455539000,404543000,380805000,474956000,641317000,797116000,1055511000,
Caribbean small states,CSS,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
