Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.10811373,26.77504388,31.85256493,33.44580556,,,,62.25467898,80.86246547,64.46661543,76.44978242,,,,,,,24.9448834,,,,19.89072306,13.68777913,17.56878338,19.14387551,20.00484901,26.26629917,
Andorra,AND,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.35005316,89.85561052,87.68390766,86.79154244,85.74702583,85.11880186,89.23964753,90.80692243,88.89237137,83.6800909,67.3351427,63.41658059,,,,,,,,,
Afghanistan,AFG,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,13.83135651,9.467291732,12.87941589,13.07219252,12.45691007,8.025516605,7.243943214,8.721606237,10.91412752,12.74772024,14.89093009,12.302644,10.57057627,9.587881643,11.51367228,14.57606938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61741964,18.04329652,19.62655879,14.1181152,16.96401615,14.21933585,14.72193646,
Angola,AGO,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,13.92097106,,,,,,,21.59896792,21.56630933,14.6805913,16.33788713,13.11212594,9.436267986,,,,8.984063948,13.12823656,12.9408692,11.88839,,,,,,,,,0.061069045,0.00182478,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.36820428,64.68899908,67.6566418,84.09369743,81.65935988,84.17980374,84.42528953,84.19131978,81.51488698,43.47081566,27.00154978,70.23263079,33.41271863,70.14539529,62.05138578,60.07611098,55.24909662,52.29376077,31.36353809,
Arab World,ARB,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,4.327420256,4.920902542,5.279164814,,4.885613906,5.874605566,5.45502458,6.679135992,,,,,,,,22.19309295,13.44249094,12.54834694,14.37660937,16.05702756,,14.13484246,13.36474181,,17.16673966,12.46574052,9.51437802,10.60702945,13.16210132,13.17133827,12.15397342,9.446501484,11.09372866,9.435109225,8.78857113,11.87033448,13.25066889,,,13.82183191,,
United Arab Emirates,ARE,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,3.61037441,5.874195205,,,,30.23868406,,,,,,18.25720609,,12.26574574,17.8139373,28.19772667,,,,,,2.812313951,2.306913397,3.610873276,,,,2.592869483,,3.123348948,4.017897174,,,,,,,
Argentina,ARG,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,3.468135678,5.725743897,7.282293103,5.609010729,6.181637519,8.112938099,12.129938,13.64017974,13.86737544,15.10280416,20.27826899,22.35457084,24.35476799,24.37637126,24.84286291,23.86408291,26.14440969,24.12684524,23.15008271,19.64792155,24.21997228,16.34404092,17.51472911,21.35225038,26.26472933,31.57457377,31.62533704,35.07661084,29.08376672,28.18142994,26.29695139,31.93304125,32.85859795,33.86450692,30.07786079,34.31274329,34.89066573,31.82901116,32.47556393,32.56818021,30.56716638,26.76340411,28.64626824,30.80076307,32.17205701,31.30516458,31.17326057,32.59356,33.18964817,32.35068137,32.14241094,33.05712835,32.1423431,
Armenia,ARM,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.45294343,,62.60946518,43.12972464,30.16951722,54.44501454,62.07292928,56.84566522,71.13290338,56.23636844,56.21391268,50.96366099,32.52841371,24.21823895,21.26159298,22.11328537,23.97769165,23.97745495,
American Samoa,ASM,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
