Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,29553100,45139700,84469273.74,107150838,155474860.3,878770949.7,1107541899,1208826816,1357094972,1347206704,1733184358,1724748603,1164804469,1389441341,2523519553,2423128492,1487821229,2051843575,3434636872,4416201117,4716033520,5206256983,5456201117,1951787709,264636871.5,5180112000,1388994000,278492000,236536000,
Andorra,AND,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,50000000,53000000,58000000,70000000,64000000,74000000,67000000,66000000,72000000,82000000,86000000,100000000,122000000,143000000,230000000,217000000,291000000,306000000,321000000,474000000,670000000,694000000,708000000,729000000,633000000,567000000,552000000,512000000,395000000,236000000,235100000,189000000,181000000,688000000,105000000,166060000,128260000,144370000,159220000,166240000,137310000,68000000,100000000,144000000,305000000,384000000,416000000,454000000,540066000,403441000,388484000,375851000,428903000,514973000,570534000,
Angola,AGO,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,124000000,135000000,148000000,163000000,204000000,200000000,221000000,238000000,271000000,326000000,423000000,455000000,479000000,792000000,1202000000,1012000000,619000000,786000000,968000000,1091000000,1883000000,1856000000,1629000000,1822000000,2033000000,2245000000,1332000000,2168000000,2516000000,3015000000,3910000000,3410000000,3755000000,3762000000,3018000000,3642000000,5095000000,5007000000,3543000000,5157000000,7921000000,6534000000,8328000000,9508000000,13475000000,24109000000,31862200000,44396200000,63914000000,40827900000,50594900000,67310300000,71093300000,68246518000,62400000000,
Albania,ALB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,49000000,49000000,41000000,48000000,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,230000000,100000000,70000000,122460000,142700000,202000000,211250000,139000000,207740000,351120000,257930000,307190000,339550000,447950000,605400000,658000000,798000000,1077580000,1354830000,1090600000,1544613000,1951044000,1967989000,2331512000,2430622145,
Arab World,ARB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4645918769,4646370432,4910079582,6165945984,6852320110,7255712087,7966100790,7791422255,9277156415,10257264054,11813811879,14950645030,17837186581,28353643998,84194893624,77023632717,93054795867,1.02082E+11,1.00484E+11,1.602E+11,2.3889E+11,2.27161E+11,1.7035E+11,1.31693E+11,1.24622E+11,1.15436E+11,81086836840,93604241875,94073744671,1.17673E+11,1.45469E+11,1.27456E+11,1.3344E+11,1.27266E+11,1.31636E+11,1.49876E+11,1.80084E+11,1.87785E+11,1.42429E+11,1.78062E+11,2.64352E+11,2.36186E+11,2.45498E+11,3.02081E+11,4.06213E+11,5.6027E+11,6.79554E+11,7.91523E+11,1.08111E+12,7.39651E+11,9.28023E+11,1.2445E+12,1.39037E+12,1.38227E+12,1.29019E+12,
United Arab Emirates,ARE,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2000000,2000000,10000000,35000000,125000000,190000000,241290000,261660000,334530000,407400000,523321000,870843000,1157280000,1806790000,6413580000,7261820000,9535490000,9635740000,9125790000,13652100000,21970000000,22380000000,18780000000,16900000000,16500000000,16780000000,10640000000,12380000000,12040000000,17596000000,23544000000,24436000000,24756000000,25619722000,26402615000,28363934000,37333697000,40422704000,33837168000,36473792000,49835262000,48413887000,52163000000,67135000000,90997000000,1.17287E+11,1.45587E+11,1.7863E+11,2.39213E+11,1.92E+11,2.14E+11,3.02E+11,3.49E+11,3.79E+11,3.6E+11,
Argentina,ARG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1079200000,964100000,1216000000,1365100000,1410400000,1493400000,1593200000,1464500000,1367900000,1612100000,1773200000,1740400000,1941200000,3266000000,3930700000,2961300000,3916100000,5651800000,6399500000,7809900000,8021000000,9143000000,7625000000,7836000000,8107000000,8396000000,6852000000,6360000000,9135000000,9579000000,12353000000,11978000000,12235000000,13118000000,15659000000,20967000000,23811000000,26370000000,26441000000,23333000000,26341000000,26543000000,25650000000,29566000000,34575700000,40351000000,46546000000,55778800000,70018300000,55672100000,68187300000,84051100000,80246200000,81660000000,71976700000,
Armenia,ARM,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216000000,271000000,290000000,233000000,221000000,232000000,294000000,343000000,505160000,685600000,722900000,973900000,985100000,1152300000,1057200000,710200000,1011430000,1334300000,1380200000,1478700000,1519300000,
American Samoa,ASM,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,127000000,199000000,187000000,177000000,212000000,201000000,254000000,288000000,368000000,308000000,311000000,326800000,315541000,481088000,252000000,272000000,313000000,424000000,415000000,345000000,346000000,317700000,388100000,459500000,445600000,373800000,438500000,330600000,336800000,483500000,320000000,300000000,450000000,390000000,380000000,
Antigua and Barbuda,ATG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2000000,3000000,3000000,4000000,3000000,4000000,7000000,3000000,8000000,8000000,14000000,16000000,18000000,30000000,32000000,27000000,9000000,33000000,38000000,50000000,30000000,40000000,21000000,20000000,18000000,17000000,20000000,19000000,17000000,16000000,21000000,50000000,65000000,62000000,44000000,53000000,38000000,38000000,36000000,38000000,52000000,41000000,39000000,45004000,57000000,83000000,74000000,59352444.44,65456522.96,50810000,45715000,56151000,62959000,67747000,55186000,
Australia,AUS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2049820000,2362530000,2356140000,2804590000,3053120000,3005300000,3170940000,3478050000,3526210000,4220270000,4769520000,5212500000,6461220000,9559100000,11015900000,11948400000,13193300000,13367200000,14415500000,18663400000,21944000000,21477000000,21360000000,20113000000,23111000000,22604000000,22569000000,26621000000,33233000000,37125000000,39752000000,41854000000,42824000000,42723000000,47528000000,53111000000,60301000000,62910000000,55893000000,56080000000,63870000000,63387000000,65033000000,70377000000,86564508000,1.06097E+11,1.23437E+11,1.41358E+11,1.87257E+11,1.54331E+11,2.12634E+11,2.71733E+11,2.56675E+11,2.52981E+11,2.41222E+11,
Austria,AUT,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1120350000,1202380000,1263500000,1325960000,1446190000,1600000000,1683580000,1808810000,1988730000,2412420000,2856620000,3168180000,3883380000,5282840000,7161100000,7519390000,8506470000,9807940000,12175000000,15480500000,17489000000,15841000000,15642000000,15427000000,15739000000,17239000000,22508000000,27168000000,31027000000,31906000000,41265000000,41111000000,44537000000,40685000000,45002000000,57738000000,58222000000,59784000000,64085074000,66060874491,67710474985,70751092881,78672975979,97146128559,1.18376E+11,1.25182E+11,1.36751E+11,1.6362E+11,1.81289E+11,1.36989E+11,1.5256E+11,1.77428E+11,1.66611E+11,1.75156E+11,1.77961E+11,
Azerbaijan,AZE,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655000000,635000000,630000000,780000000,605000000,929000000,1745000000,2314000000,2167400000,2591718144,3615400000,7648962000,13014633000,21269317000,30586343000,21097000000,26476026000,34494900000,32634038000,31702945000,28259629000,
Burundi,BDI,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,7000000,8000000,9000000,9000000,9000000,9000000,10000000,14000000,14832000,11878900,24361100,18537100,26011400,29843500,30971400,31932700,60538000,89700000,69377800,104000000,65000000,75000000,88000000,80000000,103000000,112000000,154000000,91000000,133000000,78000000,75000000,90000000,72000000,68000000,120000000,105000000,39000000,86000000,65000000,54000000,50000000,38520000,30000000,37677900,46907000,58006000,58284000,58836000,57440000,67392000,101193000,123496000,133503000,94000000,125000000,
Belgium,BEL,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,3792000000,3930000000,4332000000,4840000000,5600000000,6394000000,6832000000,7082000000,8172000000,10090000000,11600000000,12726000000,16152000000,22455000000,28334000000,28804000000,32889000000,37538000000,44947000000,56700000000,64540000000,55688000000,52356000000,51939000000,51893000000,53739000000,68818000000,83098000000,92135000000,1.00012E+11,1.17703E+11,1.18199E+11,1.23132E+11,1.2758E+11,1.47107E+11,1.78265E+11,1.77337E+11,1.74531E+11,1.8191E+11,1.79152E+11,1.88371E+11,1.90349E+11,2.16127E+11,2.55617E+11,3.06866E+11,3.344E+11,3.66745E+11,4.30952E+11,4.7184E+11,3.70125E+11,4.07692E+11,4.75672E+11,4.45939E+11,4.6876E+11,4.71384E+11,
Benin,BEN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,18270000,14502600,10937700,12760600,13165700,13611300,10451600,15272200,22361500,27152500,32631200,42078000,36445500,43498400,34398600,31840700,24982300,30996500,27209600,45942700,63000000,34000000,24000000,67000000,167000000,199000000,188000000,260000000,226000000,218000000,288000000,330000000,335000000,384000000,398000000,420000000,528000000,424000000,407000000,422000000,392000000,374000000,448000000,541000000,568568000,578234000,736000000,1046859000,1282255000,1224729000,1281610000,1410146101,1442626933,1869686665,2010160736,
Burkina Faso,BFA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4310260,3572980,7879180,9317290,12173200,14907700,16143200,17941900,21421700,20510200,18206100,15933400,20371100,25122600,36010100,43529400,53420600,55234000,42704900,76708400,90000000,74000000,56000000,58000000,79000000,71000000,83000000,155000000,142000000,95000000,152000000,106000000,64000000,69000000,107000000,276000000,233000000,232000000,319000000,255000000,209000000,223000000,246742000,320544000,479287000,468000000,588000000,623000000,693159000,900493000,1591028859,2398986000,2182204833,2355589018,2488727302,
Bangladesh,BGD,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,260330000,357726000,347907000,327235000,400774000,475687000,548465000,658682000,759000000,791000000,769000000,724000000,931000000,999000000,880000000,1067000000,1291000000,1305000000,1671000000,1689000000,2098000000,2545000000,2934000000,3501000000,4249000000,4832000000,5121000000,5497000000,6389000000,6080000000,6149000000,6990000000,8305000000,9297000000,11802240000,12453200000,15369600000,15082820000,19194400000,24439200000,25127070000,29113510000,30405190000,
Bulgaria,BGR,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,572000000,663000000,773000000,834000000,980000000,1176070000,1305130000,1458120000,1615380000,1794870000,2004270000,2182050000,2626850000,3301000000,3836000000,4691000000,5382000000,6329000000,7478000000,8869000000,10390000000,10700000000,11440000000,12140000000,12860000000,13310000000,14140000000,15850000000,17290000000,16220000000,5030000000,3760000000,3550000000,3580000000,4005000000,5355000000,4890000000,4940000000,4300000000,3979430729,4851733817,5117664755,5733031045,7543091448,9932382037,11739000000,15064200000,18518284156,22362153038,16318393119,20629764081,28208369932,26685930307,29579155063,29299387139,
Bahrain,BHR,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,190000000,198000000,211500000,205700000,175800000,164600000,187320000,210840000,211050000,225960000,217686000,264935000,347471000,480515000,1271800000,1202910000,1516220000,1845320000,1893120000,2487630000,3594000000,4347000000,3789000000,3199000000,3204000000,2897000000,2200000000,2430000000,2411000000,2831000000,3761000000,3513000000,3465000000,3726000000,3616000000,4112000000,4700000000,4384000000,3270000000,4363000000,6195000000,5577000000,5794000000,6631649000,7557966000,10242004000,12200000000,13634000000,17316000000,11873650000,14971251000,19650233000,19768085000,20926596000,20470000000,
"Bahamas, The",BHS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,6000000,8000000,9000000,,16000000,18620000,22540000,31359900,50959900,52919900,89847200,267000000,343000000,530000000,1444000000,2508000000,2992000000,3261000000,3058000000,3786000000,2983000000,1972000000,1613000000,2078000000,1554000000,862000000,605000000,712000000,761000000,946000000,1050000000,1517000000,192000000,162000000,167000000,176000000,180000000,181000000,300000000,462000000,576000000,423000000,446000000,425000000,477000000,549000000,694200000,801900000,955800000,710700000,702400000,833500000,984000000,954900000,849200000,
Bosnia and Herzegovina,BIH,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276000000,95000000,91000000,152000000,336000000,575000000,605000000,751000000,1069000000,1032000000,1005286000,1340000000,1792673539,2400000000,3323000000,4151965000,5021083000,3953920000,4803109000,5850079000,5161809000,5687314000,5892102000,
Belarus,BLR,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510000000,4803000000,5652000000,7301000000,7070000000,5909000000,7326000000,7451000000,8020900000,9945600000,13773700000,15979000000,19734000000,24275300000,32570800000,21304200000,25283500000,41418700000,46059900000,37203100000,36392000000,
Belize,BLZ,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,7871510,8681410,8666710,13000400,13435100,12224100,13467300,14132700,15116400,16848000,18800400,19278100,25529500,32269600,44924200,66589700,42252800,62082000,79782500,86731000,111000000,119000000,91000000,78000000,117000000,115000000,111000000,103000000,116000000,125000000,133000000,122000000,141000000,136000000,151000000,162000000,168000000,176000000,172000000,186000000,218000000,169000000,169000000,205000000,213000000,319111395,419339180.9,416350935.4,469145383.1,380979824,478209469.7,603700000,627250000,608455000,589732000,
Bermuda,BMU,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,37000000,29000000,17000000,23000000,41000000,23000000,65000000,29000000,31000000,50000000,60000000,55000000,85000000,35000000,32000000,56000000,68000000,57000000,45000000,51000000,51000000,36000000,56000000,52000000,73000000,49000000,27000000,27034000,24000000,28670000,14680000,13490000,11000000,12000000,12000000,
Bolivia,BOL,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,53000000,58000000,60000000,67000000,96000000,110000000,127400000,149900000,152100000,172300000,190200000,181100000,201200000,260500000,556500000,444100000,568200000,631700000,628800000,759800000,942000000,912000000,828000000,755000000,725000000,623000000,638000000,570000000,600000000,822000000,926000000,849000000,710000000,728000000,1032000000,1100000000,1137000000,1167000000,1104000000,1051000000,1230000000,1285000000,1299000000,1597840000,2146050000,2826717000,3951545000,4504159000,6525134000,4960358000,6401893000,8358221000,11253958000,11656675000,12265852000,
Brazil,BRA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1268000000,1403000000,1214000000,1406000000,1430000000,1596000000,1741000000,1654000000,1881000000,2311000000,2739000000,2904000000,3991000000,6199000000,7951000000,8670000000,10128000000,12120000000,12659000000,15244000000,20132000000,23293000000,20175000000,21899000000,27005000000,25639000000,22349000000,26224000000,33494000000,34383000000,31414000000,31620000000,35793000000,38555000000,43545000000,46506000000,47747000000,52994000000,51140000000,48011000000,55086000000,58223000000,60362000000,73084000000,96677800000,1.18529E+11,1.37807E+11,1.60649E+11,1.97942E+11,1.52995E+11,2.01915E+11,2.5604E+11,2.42578E+11,2.42034E+11,2.25101E+11,
Barbados,BRB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,23864700,25230900,29329300,40667600,35173200,37490700,40809900,41496200,40116000,37127500,39573000,40552300,44489200,53504900,86034100,107317000,86253000,96502000,130584000,151967000,226000000,195000000,257000000,321000000,390000000,352000000,275000000,154000000,173000000,186000000,216000000,207000000,191000000,187000000,182000000,239000000,281000000,283000000,252000000,264000000,272000000,259000000,241500000,249750000,278250000,359450000,509733000,523823000,487795000,378522000,428983000,475140000,565042000,457488000,435160000,
Brunei Darussalam,BRN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,83000000,77000000,65000000,60000000,61000000,65000000,74000000,81000000,92000000,88000000,95000000,212000000,176000000,347000000,980000000,1049000000,1333000000,1640000000,1845000000,2666000000,4581000000,4037000000,3808000000,3369000000,3204000000,2972000000,1797000000,1902000000,1708000000,1883000000,2213000000,2682000000,2401000000,2167000000,2210000000,2402000000,2481000000,2467000000,2058000000,2579000000,3903000000,3640000000,3702000000,4421000000,5057000000,6249000000,7636103000,7667972000,10319089000,7200223000,8907472000,12464938000,13000828000,11447187000,10508833000,
Bhutan,BTN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,17000000,20000000,17000000,16000000,18000000,22000000,34000000,55000000,75000000,70000000,70000000,63000000,66000000,65000000,66000000,103000000,100000000,118000000,108000000,116000000,103000000,106000000,112704000,132882000,183000000,258200000,414327000,674524000,521415000,495846000,641310000,674644000,535210000,543587000,555000000,
Botswana,BWA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,7560000,8821400,9322600,11295200,11821600,14334600,15080800,12906600,10487400,18373600,25625600,42422100,58291300,85307600,120815000,141781000,170398000,186355000,232656000,450545000,502000000,397000000,454000000,635000000,660000000,728000000,862000000,1587000000,1465000000,1857000000,1784000000,1849000000,1742000000,1780000000,1878000000,2142000000,2447000000,2842000000,2058000000,2644000000,2675000000,2510000000,2425000000,2810000000,3513092000,4425345613,4529027000,5174440000,4950877000,3455712000,4693238000,5881918000,5971245000,7607591000,7800000000,
Central African Republic,CAF,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,13870600,13732900,14219000,21996900,28928100,26359800,30751100,29029400,35713600,35517400,30369900,32348300,39400400,37281600,48225000,47287900,61196800,81541100,71711000,79620500,116000000,79000000,107000000,80000000,86000000,92000000,66000000,130000000,130000000,134000000,120000000,126000000,107000000,110000000,151000000,171000000,147000000,163000000,151000000,146000000,161000000,142000000,147000000,128000000,133829278,128000000,157586000,177771471.9,150000000,120000000,140000000,190000000,200000000,150000000,90000000,
Canada,CAN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5818300000,6085260000,6212630000,6776990000,8037050000,8473210000,10004700000,10999800000,13171300000,14350100000,16786500000,18373600000,21185300000,26436900000,34507600000,34074200000,40598400000,43544800000,48431500000,58293900000,67734000000,72726000000,71234000000,76749000000,90272000000,90950000000,90329000000,98168000000,1.17105E+11,1.21832E+11,1.27629E+11,1.27163E+11,1.34435E+11,1.45178E+11,1.65376E+11,1.92197E+11,2.01633E+11,2.14422E+11,2.14327E+11,2.38446E+11,2.76635E+11,2.59858E+11,2.52394E+11,2.72739E+11,3.16762E+11,3.60475E+11,3.88178E+11,4.20693E+11,4.56471E+11,3.16094E+11,3.87481E+11,4.51335E+11,4.55592E+11,4.58318E+11,4.74709E+11,
Central Europe and the Baltics,CEB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66853913527,65136394101,76137000000,97623410000,1.03948E+11,1.11035E+11,1.22744E+11,1.22264E+11,1.38839E+11,1.53395E+11,1.75522E+11,2.27229E+11,3.04459E+11,3.54526E+11,4.33927E+11,5.54471E+11,6.63288E+11,5.15218E+11,6.05937E+11,7.40931E+11,7.15466E+11,7.65995E+11,7.9993E+11,
