Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,130388000,151149000,149566000,231126000,270155000,334854000,396838000,448022000,478100000,517802000,461497000,428176000,578007000,593161000,554172000,700601000,746906000,700915000,722775000,675555000,757019000,858988000,1429124000,1576887000,1472522000,1493405000,1563051000,1216029000,1289640000,
Andorra,AND,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net foreign assets (current LCU),FM.AST.NFRG.CN,,817000000,682000000,1901000000,1648000000,1881000000,1641000000,1498000000,1077000000,1143092305,1437493461,2288233403,2550475761,3032389756,3614573954,6748051846,9582834845,16667433589,20106708079,21915226509,39353160286,44336215668,39768928614,,25801110842,22283610096,17918024780,25260267409,25828407151,20334909553,3981259339,,,,,,,,,,,,,,,,1.03827E+11,1.4708E+11,1.72784E+11,2.14829E+11,2.48099E+11,3.38126E+11,4.25431E+11,4.83886E+11,4.86797E+11,
Angola,AGO,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7611172.127,135920959.1,200101483.4,168039754,5768914826,30520014540,40414519654,78895935741,1.06824E+11,1.51413E+11,3.86785E+11,8.91291E+11,1.02274E+12,1.50914E+12,1.18157E+12,1.73103E+12,2.92744E+12,3.16572E+12,3.11537E+12,3.09746E+12,
Albania,ALB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21629413796,35443315096,54424371563,68297294555,83030726075,1.0007E+11,1.3008E+11,1.5727E+11,1.64324E+11,1.61813E+11,1.88807E+11,2.10787E+11,2.33238E+11,2.32446E+11,2.06642E+11,2.44406E+11,3.3938E+11,3.89001E+11,4.51161E+11,4.78895E+11,5.24493E+11,
Arab World,ARB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,1524029179,5481251146,9615417105,14866210221,2080184922,2238657746,3369772325,9844689772,18732522649,21619606584,20394773674,34503784371,38784246749,46227349601,48946200962,51360331770,56568290135,55342186881,63846217706,62897040071,62407615360,57307255967,63719648269,63449379749,62239221336,62440234443,66883042642,87914057289,1.20407E+11,1.3826E+11,1.36402E+11,1.51789E+11,1.66648E+11,1.55489E+11,1.60323E+11,32955151309,46799125251,78475022138,92346388449,1.60701E+11,2.4594E+11,2.85739E+11,
Argentina,ARG,Net foreign assets (current LCU),FM.AST.NFRG.CN,0.0022,0.0006,-0.0029,-0.0009,-0.0007,0.0012,0.0029,0.0147,0.0181,0.016044,0.028012,0.011385,0.011035,0.04525,0.050795,0.057901635,1.353285,17.4260875,61.946055,170.971866,155.0105225,-340.771456,-1519.63643,-12526.96644,-73207.1469,-502490.45,-966001.65,-4524042.5,-15532047.8,,-4413000000,-6145000000,2537000000,7877000000,5951066493,2037238350,7185335088,13193439128,15813378415,14583698968,15195104837,-8178428654,-45077838379,-23869597396,1939015404,46907305928,90288304604,1.40216E+11,1.5716E+11,1.68715E+11,1.948E+11,1.81075E+11,1.99568E+11,1.77027E+11,2.41758E+11,
Armenia,ARM,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218135805.3,883994304.2,7010180537,15438495735,6453110151,30937701270,42029938636,45730865062,70912133286,85070447551,1.57E+11,2.05183E+11,2.25108E+11,2.78533E+11,3.36812E+11,3.7439E+11,2.01255E+11,3.69267E+11,1.92708E+11,27995101459,-1.41027E+11,-92960408626,-4.09093E+11,
American Samoa,ASM,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
