Country,Year,RealInterestRate
Afghanistan,1/01/2006 0:00,10.07615212
Afghanistan,1/01/2007 0:00,-3.470294022
Afghanistan,1/01/2008 0:00,12.46673371
Afghanistan,1/01/2009 0:00,17.47530159
Afghanistan,1/01/2010 0:00,5.713021941
Afghanistan,1/01/2011 0:00,4.146750003
Afghanistan,1/01/2012 0:00,6.181851186
Afghanistan,1/01/2013 0:00,9.894843176
Afghanistan,1/01/2014 0:00,14.72113522
Albania,1/01/1994 0:00,-10.65612025
Albania,1/01/1995 0:00,13.3335716
Albania,1/01/1996 0:00,-12.2577868
Albania,1/01/1999 0:00,19.77840091
Albania,1/01/2000 0:00,17.42737787
Albania,1/01/2001 0:00,15.79937782
Albania,1/01/2002 0:00,12.59008172
Albania,1/01/2003 0:00,8.437210266
Albania,1/01/2004 0:00,9.187871776
Albania,1/01/2005 0:00,10.18697983
Albania,1/01/2006 0:00,9.97496367
Albania,1/01/2007 0:00,10.1600836
Albania,1/01/2008 0:00,8.821670678
Albania,1/01/2009 0:00,9.996131225
Albania,1/01/2010 0:00,7.974303697
Albania,1/01/2011 0:00,9.89334145
Albania,1/01/2012 0:00,9.739103093
Albania,1/01/2013 0:00,9.586744328
Albania,1/01/2014 0:00,7.592095837
Algeria,1/01/1994 0:00,-10.13161271
Algeria,1/01/1995 0:00,-7.90216594
Algeria,1/01/1996 0:00,-4.049207359
Algeria,1/01/1997 0:00,8.136645381
Algeria,1/01/1998 0:00,15.1040086
Algeria,1/01/1999 0:00,-0.095986874
Algeria,1/01/2000 0:00,-11.71614896
Algeria,1/01/2001 0:00,11.74289656
Algeria,1/01/2002 0:00,7.168249271
Algeria,1/01/2003 0:00,-0.189907793
Algeria,1/01/2004 0:00,-3.784155209
Algeria,1/01/2005 0:00,-6.997060821
Algeria,1/01/2006 0:00,-2.30372859
Algeria,1/01/2007 0:00,1.508201045
Algeria,1/01/2008 0:00,-6.705756287
Algeria,1/01/2009 0:00,21.56903885
Algeria,1/01/2010 0:00,-6.992595449
Algeria,1/01/2011 0:00,-8.739848812
Algeria,1/01/2012 0:00,0.412432693
Algeria,1/01/2013 0:00,8.121396453
Algeria,1/01/2014 0:00,8.446893006
Angola,1/01/1995 0:00,-84.65161616
Angola,1/01/1996 0:00,-94.21993629
Angola,1/01/1997 0:00,-29.11161788
Angola,1/01/1998 0:00,7.155928147
Angola,1/01/1999 0:00,-72.55504755
Angola,1/01/2000 0:00,-60.79751922
Angola,1/01/2001 0:00,-5.01929356
Angola,1/01/2002 0:00,-33.46214609
Antigua and Barbuda,1/01/1994 0:00,9.829003455
Antigua and Barbuda,1/01/1995 0:00,9.278815939
Antigua and Barbuda,1/01/1996 0:00,9.44106692
Antigua and Barbuda,1/01/1997 0:00,9.599112204
Antigua and Barbuda,1/01/1998 0:00,9.548332452
Antigua and Barbuda,1/01/1999 0:00,10.99571902
Antigua and Barbuda,1/01/2000 0:00,-2.013231268
Antigua and Barbuda,1/01/2001 0:00,9.465508375
Antigua and Barbuda,1/01/2002 0:00,10.53607909
Antigua and Barbuda,1/01/2003 0:00,14.16397649
Antigua and Barbuda,1/01/2004 0:00,10.22526353
Antigua and Barbuda,1/01/2005 0:00,6.43849844
Antigua and Barbuda,1/01/2006 0:00,10.46498712
Antigua and Barbuda,1/01/2007 0:00,6.473804431
Antigua and Barbuda,1/01/2008 0:00,5.742720291
Antigua and Barbuda,1/01/2009 0:00,8.128682403
Antigua and Barbuda,1/01/2010 0:00,9.503527062
Antigua and Barbuda,1/01/2011 0:00,9.467111191
Antigua and Barbuda,1/01/2012 0:00,7.470988724
