Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.027860096,-1.731230214,-2.314249866,0.281700159,1.495566769,-0.626409396,-0.621107949,,,
Angola,AGO,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.283331524,26.26910414,10.41850827,1.36814677,-9.710192708,10.62751833,0.686789754,19.39761955,13.57097818,6.860610612,-11.33233809,0.850442441,10.74403399,6.125657127,,,
Albania,ALB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.908318439,-10.18470916,-12.1210908,-9.556162572,,,,-6.678392619,-2.835987102,-3.044557244,,,,,,,,,,,
Arab World,ARB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332391323,0.030944364,0.05933062,,,,,,,,,,,,-0.107816809,-0.33090319,0.166241433,,
Argentina,ARG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.739865922,-0.848435545,-1.004318587,-0.300422797,-0.566883682,-0.542749555,-7.600815367,-4.967661774,-2.764406811,-1.304381681,,,
American Samoa,ASM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.325175435,-9.764662071,-10.23154017,-5.546761181,-2.692160034,15.70420045,-7.008413391,-5.754115636,-6.075025855,-10.99988088,-1.382929445,-4.346430008,-1.340414411,,,
Australia,AUS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65830952,0.09329511,-2.735934075,-3.825050541,-3.643473373,,,,,0.253450001,1.698279144,0.53529193,-0.744104327,0.529274245,0.538587143,0.764049466,1.248879725,1.166461981,1.471213195,-2.904504433,-4.031162935,-3.672519764,-3.031965479,-1.469643784,,
