Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,3.217193653,2.830327029,2.332172916,2.921822227,2.217400424,1.179546373,1.292875356,1.519198491,1.394298229,1.500180684,1.04027318,0.878653886,1.426411129,1.787498763,1.785034306,2.275344376,2.558115608,2.154840964,0.9370178,0.704990474,0.852870309,0.855744945,1.185993821,2.502648818,3.763546704,1.174719771,3.053450528,3.171147072,3.380039661,
Andorra,AND,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,14.06740392,12.20165579,7.306405462,8.472039818,6.574213395,4.44878522,6.759329641,5.63143456,8.359290339,9.132614414,10.29928669,,,,,,,,,,,,,,,,,,,9.157195444,11.42205326,9.99478969,9.605487259,8.285161307,9.081173145,10.29458413,
Angola,AGO,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593641717,1.106845764,0.762911451,0.426990918,0.838507849,1.928916475,1.060513959,0.51595049,0.722048941,1.253301802,1.997942206,4.563250764,3.891573438,3.744809286,3.361138168,5.43038884,6.420062914,7.094723136,6.566063047,5.357310932,
Albania,ALB,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.515252305,3.463007762,3.682138216,3.454573218,5.890245704,6.330708221,6.563515014,5.704376084,5.748461334,5.626206706,5.440139088,5.701663804,4.862170954,5.251689576,4.778422886,3.967765535,4.308444282,4.85509138,4.230658318,5.041051728,5.40413839,4.873712071,
Arab World,ARB,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,10.4377061,5.626896601,5.52391221,6.976192469,5.205439112,5.310319867,4.881788456,4.598459155,6.74281032,7.487381935,7.726336688,6.462472624,5.166824631,4.496393787,4.188883281,6.105114551,,,,,,,,,,,,,18.36296236,22.0640123,24.26410098,25.58856879,26.60262912,26.91238191,32.44224394,30.40125768,30.89354451,28.52991802,
United Arab Emirates,ARE,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,5.864907164,8.174252341,11.772462,13.3051744,6.973001843,3.641998116,4.451287275,2.790053009,2.505728002,5.002369294,4.540152829,3.546871812,4.785784833,2.890490684,5.699579487,5.096205442,5.705060372,6.743860785,5.596782207,5.47248349,5.897895517,5.475660555,5.699148602,6.804642077,6.283222351,4.293714061,5.275431596,5.700137394,5.778378257,7.26030126,7.276568119,8.417213714,6.869974428,9.335903777,7.583220061,5.316645634,5.277350272,3.568029592,4.002508496,
Armenia,ARM,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535743487,0.968725391,1.746639339,2.14742155,2.81895984,3.366472556,3.866500145,3.658245334,3.521153803,4.100495147,3.758380327,3.272535411,3.187634009,4.236971879,4.593343187,3.062097712,5.412026203,4.366228477,4.123851996,3.707791857,4.440537955,2.918220052,
American Samoa,ASM,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
