Country,1,2,3,4,5,6,7,8,9,10,11,12,13
Bulgaria ,1990,,,,,,,,,,,,
Croatia ,1993,1994,1995,1996,,,,,,,,,
Greece ,2012,,,,,,,,,,,,
Poland ,1981,,,,,,,,,,,,
Russia ,1991,,,,,,,,,,,,
Ukraine ,1998,1999,2000,2016,,,,,,,,,
Algeria ,1991,,,,,,,,,,,,
Angola ,1976,1985,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Cameroon ,2004,,,,,,,,,,,,
Central African Republic ,1981,1983,,,,,,,,,,,
Congo ,1979,,,,,,,,,,,,
Côte d'Ivoire ,1983,2000,,,,,,,,,,,
Gabon ,1999,2000,2001,2002,2003,2004,2005,,,,,,
Ghana ,1979,1982,,,,,,,,,,,
Madagascar ,2002,,,,,,,,,,,,
Mozambique ,1980,,,,,,,,,,,,
Rwanda ,1995,,,,,,,,,,,,
Sierra Leone ,1997,1998,,,,,,,,,,,
Sudan ,1991,,,,,,,,,,,,
Tunisia ,1986,,,,,,,,,,,,
Egypt ,1984,,,,,,,,,,,,
Kenya ,1994,2000,,,,,,,,,,,
Morocco ,1983,1994,2000,,,,,,,,,,
Nigeria ,1982,1986,1992,2001,2004,,,,,,,,
South Africa ,1985,1989,1993,,,,,,,,,,
Zambia ,1983,,,,,,,,,,,,
Zimbabwe ,1965,2000,2006,,,,,,,,,,
Antigua and Barbuda ,1998,1999,2000,2001,2002,2003,2004,2005,,,,,
Argentina ,1982,1989,2001,,,,,,,,,,
Bolivia ,1980,1986,1989,,,,,,,,,,
Brazil ,1983,1986,1987,1990,,,,,,,,,
Chile ,1972,1974,1983,,,,,,,,,,
Costa Rica ,1981,1983,1984,,,,,,,,,,
Dominica ,2003,2004,2005,,,,,,,,,,
Dominican Republic ,2000,,,,,,,,,,,,
Ecuador ,1982,1984,2000,2008,,,,,,,,,
El Salvador ,1996,,,,,,,,,,,,
Grenada ,2004,2005,,,,,,,,,,,
Guatemala ,1986,1989,1989,,,,,,,,,,
Guyana ,1982,,,,,,,,,,,,
Honduras ,1981,,,,,,,,,,,,
Jamaica ,1978,,,,,,,,,,,,
Mexico ,1982,,,,,,,,,,,,
Nicaragua ,1979,,,,,,,,,,,,
Panama ,1983,1983,1987,1988,1989,1989,,,,,,,
Paraguay ,1986,2003,,,,,,,,,,,
Peru ,1976,1978,1980,1984,,,,,,,,,
Surinam ,2001,2002,,,,,,,,,,,
Trinidad and Tobago ,1989,,,,,,,,,,,,
Uruguay ,1983,1987,1990,,,,,,,,,,
Venezuela ,1995,1997,1998,2004,,,,,,,,,
India ,1972,,,,,,,,,,,,
Iran ,1992,,,,,,,,,,,,
Iraq ,1990,,,,,,,,,,,,
Jordan ,1989,,,,,,,,,,,,
Kuwait ,1990,1991,,,,,,,,,,,
Myanmar ,1984,1987,2002,,,,,,,,,,
Mongolia ,1997,1998,1999,2000,,,,,,,,,
The Philippines ,1983,,,,,,,,,,,,
Solomon Islands ,1995,2004,,,,,,,,,,,
Sri Lanka ,1980,1982,1996,,,,,,,,,,
Turkey ,1978,1982,,,,,,,,,,,
Vietnam ,1975,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
