Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch,Year,GC.DOD.TOTL.GD.ZS,RollMeanGovDebt,Governance,BroadMoney,RollGenGovDeficit,DT.INT.DECT.CD,RollMeanChangeCPI,WorldGDPRank,WorldGDPLog,NonManMercExports,RollNetForeignAssetsGDP,RollCABFDI,FI.RES.TOTL.MO,RollInterestPaymentsRevenue,GDPGrowth,RealInterestRate,Default,Defaulted,ReserveCurrrency,,,,,,,
United Arab Emirates,2/07/2007,AA,F1+,stable,AA,stable,2007,7.853,7.110333333,66.1920468,4.089728759,NA,NA,NA,0.74301676,3.481240089,NA,0.179348085,NA,NA,NA,3.184,NA,0,0,0,,,,,,,
Angola,23/05/2012,BB-,B,positive,BB-,positive,2012,29.29,34.27033333,16.33294805,3.471245079,5.906711186,653897000,12.74368363,NA,NA,NA,NA,0.06582485,7.094723136,2.78623525,NA,NA,225,1,0,,,,,,,
Angola,24/05/2011,BB-,B,stable,BB-,stable,2011,33.718,41.13266667,14.78340928,3.562820203,0.087379447,169628000,13.88966923,0.60625,2.674148649,NA,NA,0.022899047,6.420062914,4.827129384,3.919,NA,256,1,0,,,,,,,
Angola,19/05/2010,B+,B,positive,B+,positive,2010,39.803,40.43233333,15.50000401,3.554036328,-1.207095012,200746000,13.55856858,0.627218935,2.674148649,NA,NA,0.026062749,5.43038884,5.840455433,3.408,NA,289,1,0,,,,,,,
Argentina,12/07/2010,B,B,stable,B,stable,2010,49.178,55.463,41.26770242,3.145390583,NA,NA,NA,0.869822485,4.443827036,16.48948695,0.237854687,0.031187215,7.583220061,NA,9.162,-5.676170956,256,1,0,,,,,,,
Argentina,18/12/2008,RD,B,NA,B-,stable,2008,58.511,67.44666667,40.37382031,3.046278617,NA,NA,NA,0.877094972,4.38949865,8.574341177,0.189916141,0.04448568,6.869974428,NA,6.759,-1.466042579,324,1,0,,,,,,,
Argentina,1/08/2006,RD,B,NA,B,stable,2006,76.443,96.865,43.23341179,3.212226042,NA,NA,NA,0.873626374,4.317488114,5.553176086,0.075377765,0.046239223,7.276568119,NA,8.466,-5.740521569,400,1,0,,,,,,,
Argentina,14/12/2005,RD,B,NA,B-,stable,2005,87.119,117.8663333,43.72363695,3.250269625,NA,NA,NA,0.872222222,4.286341385,6.475838243,0.011738907,0.054938101,7.26030126,NA,9.179,-4.029025142,441,1,0,,,,,,,
Argentina,3/06/2005,DDD,B,NA,B-,stable,2005,87.119,117.8663333,43.72363695,3.250269625,NA,NA,NA,0.872222222,4.286341385,6.475838243,0.011738907,0.054938101,7.26030126,NA,9.179,-4.029025142,441,1,0,,,,,,,
Argentina,14/01/2005,D,D,NA,B-,stable,2005,87.119,117.8663333,43.72363695,3.250269625,NA,NA,NA,0.872222222,4.286341385,6.475838243,0.011738907,0.054938101,7.26030126,NA,9.179,-4.029025142,441,1,0,,,,,,,
Argentina,17/06/2004,DDD,D,NA,B-,stable,2004,127.033,143.8236667,38.19567077,3.244340163,NA,NA,NA,0.872222222,4.244200318,6.630630819,-0.048260051,0.076261066,5.778378257,NA,8.911,-18.32710734,484,1,0,,,,,,,
Argentina,26/04/2004,DDD,C,NA,B-,stable,2004,127.033,143.8236667,38.19567077,3.244340163,NA,NA,NA,0.872222222,4.244200318,6.630630819,-0.048260051,0.076261066,5.778378257,NA,8.911,-18.32710734,484,1,0,,,,,,,
Argentina,4/01/2002,DDD,C,NA,C,NA,2002,164.991,88.07766667,33.49310525,3.329596453,NA,NA,NA,0.865921788,4.160444364,5.85999527,-0.029101706,0.036915898,5.275431596,NA,-10.894,16.17980388,576,1,0,,,,,,,
Argentina,3/12/2001,DDD,D,NA,DDD,NA,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,6/11/2001,C,C,Rating Watch negative,C,Rating Watch negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,2/11/2001,CC,C,Rating Watch negative,CC,Rating Watch negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,12/10/2001,CCC-,C,negative,CCC-,negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,11/07/2001,B-,B,negative,B-,negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,28/03/2001,B+,B,Rating Watch negative,B+,Rating Watch negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,20/03/2001,BB-,B,Rating Watch negative,BB,Rating Watch negative,2001,53.621,47.578,43.19614458,3.300981078,NA,NA,NA,0.875706215,4.302712828,3.340540655,0.013272278,0.013844572,4.293714061,NA,-4.409,29.1202848,169,1,0,,,,,,,
Argentina,21/09/2000,BB,B,negative,BB+,negative,2000,45.621,42.43133333,52.89918391,3.460994086,NA,NA,NA,0.875706215,4.369447852,2.397068884,0.028182531,0.007828686,6.283222351,NA,-0.789,9.945071689,196,1,0,,,,,,,
Argentina,3/12/1997,BB,B,NA,BB+,NA,1997,35.428,35.39533333,56.15144253,3.276018991,NA,NA,NA,0.872093023,4.480740108,3.156762716,0.014574614,-0.002535749,5.475660555,NA,8.111,9.75165233,289,1,0,,,,,,,
Argentina,28/05/1997,BB,B,NA,-,NA,1997,35.428,35.39533333,56.15144253,3.276018991,NA,NA,NA,0.872093023,4.480740108,3.156762716,0.014574614,-0.002535749,5.475660555,NA,8.111,9.75165233,289,1,0,,,,,,,
Armenia,13/08/2009,BB-,B,stable,BB-,stable,2009,34.136,21.00533333,44.2319177,3.255842558,-2.903482868,100673000,5.588027026,0.305084746,0.832909123,0.547137013,0.175139187,-0.046438617,5.412026203,1.669629903,-14.15,15.80345155,0,0,0,,,,,,,
Armenia,3/07/2008,BB,B,stable,BB,stable,2008,14.631,15.021,42.4988025,2.987490236,-0.470018678,88816000,5.416556958,0.324022346,0.955511445,0.457454887,0.17164612,-0.004415419,3.062097712,1.474442152,6.948,10.43491465,0,0,0,,,,,,,
Armenia,1/05/2007,BB-,B,positive,BB-,positive,2007,14.249,16.96633333,41.28555997,3.08887644,-0.623875022,112879000,2.647353596,0.324022346,0.916290732,0.527514988,0.202568037,0.027464852,4.593343187,1.770014603,13.749,12.74351141,0,0,0,,,,,,,
Armenia,24/05/2006,BB-,B,stable,BB-,stable,2006,16.183,21.02733333,40.25521437,2.906189321,-0.717725643,75269000,3.498653751,0.324175824,0.832909123,0.657224577,0.194519623,0.04356418,4.236971879,2.203131511,13.198,11.37952805,0,0,0,,,,,,,
Aruba,8/06/2006,BBB,F3,stable,BBB,stable,2006,NA,NA,84.33907191,4.051786553,NA,NA,NA,NA,NA,NA,0.19897217,0.118927768,0.852870309,NA,NA,NA,0,0,0,,,,,,,
Aruba,12/06/2003,BBB,F3,negative,BBB,negative,2003,NA,NA,NA,4.1151842,NA,NA,NA,NA,NA,NA,0.213415861,-0.008292069,2.154840964,NA,NA,NA,0,0,0,,,,,,,
Aruba,29/04/2002,BBB,F3,stable,BBB,stable,2002,NA,NA,NA,4.069470615,NA,NA,NA,NA,NA,NA,0.202535691,0.007610427,2.558115608,NA,NA,NA,0,0,0,,,,,,,
Australia,28/11/2011,AAA,F1+,stable,AAA,stable,2011,24.272,20.49766667,92.29477946,4.608651814,-3.536062377,NA,2.656396026,0.89375,4.744062185,4.83441316,-0.24231791,-0.004944437,1.353484524,4.501466827,2.582,1.460311026,0,0,2,,,,,,,
Australia,3/02/2003,AA+,F1+,stable,AAA,stable,2003,13.189,15.14233333,91.13843409,4.315055759,0.106820616,NA,3.384915804,0.922222222,4.821087692,4.027656251,-0.084135544,-0.014135153,2.938637913,5.346554101,3.05,5.136380869,0,0,2,,,,,,,
Australia,21/09/2000,AA,F1+,stable,AAA,stable,2000,19.537,21.958,94.18331401,4.215374234,-0.563914743,NA,2.264688936,0.920903955,4.812997033,4.486327488,-0.058949524,-0.027224851,2.063799232,6.683499841,3.088,6.539676499,0,0,2,,,,,,,
