Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
United Arab Emirates,2/07/2007,AA,F1+,stable,AA,stable
Angola,23/05/2012,BB-,B,positive,BB-,positive
Angola,24/05/2011,BB-,B,stable,BB-,stable
Angola,19/05/2010,B+,B,positive,B+,positive
Argentina,12/07/2010,B,B,stable,B,stable
Argentina,18/12/2008,RD,B,,B-,stable
Argentina,1/08/2006,RD,B,,B,stable
Argentina,14/12/2005,RD,B,,B-,stable
Argentina,3/06/2005,DDD,B,,B-,stable
Argentina,14/01/2005,D,D,,B-,stable
Argentina,17/06/2004,DDD,D,,B-,stable
Argentina,26/04/2004,DDD,C,,B-,stable
Argentina,4/01/2002,DDD,C,,C,
Argentina,3/12/2001,DDD,D,,DDD,
Argentina,6/11/2001,C,C,Rating Watch negative,C,Rating Watch negative
Argentina,2/11/2001,CC,C,Rating Watch negative,CC,Rating Watch negative
Argentina,12/10/2001,CCC-,C,negative,CCC-,negative
Argentina,11/07/2001,B-,B,negative,B-,negative
Argentina,28/03/2001,B+,B,Rating Watch negative,B+,Rating Watch negative
Argentina,20/03/2001,BB-,B,Rating Watch negative,BB,Rating Watch negative
Argentina,21/09/2000,BB,B,negative,BB+,negative
Argentina,3/12/1997,BB,B,,BB+,
Argentina,28/05/1997,BB,B,,-,
Armenia,13/08/2009,BB-,B,stable,BB-,stable
Armenia,3/07/2008,BB,B,stable,BB,stable
Armenia,1/05/2007,BB-,B,positive,BB-,positive
Armenia,24/05/2006,BB-,B,stable,BB-,stable
Aruba,8/06/2006,BBB,F3,stable,BBB,stable
Aruba,12/06/2003,BBB,F3,negative,BBB,negative
Aruba,29/04/2002,BBB,F3,stable,BBB,stable
Australia,28/11/2011,AAA,F1+,stable,AAA,stable
Australia,3/02/2003,AA+,F1+,stable,AAA,stable
Australia,21/09/2000,AA,F1+,stable,AAA,stable
Australia,19/11/1998,AA,F1+,,AAA,
Australia,18/06/1998,AA,F1+,Rating Watch negative,AAA,Rating Watch negative
Australia,25/01/1996,AA,F1+,,AAA,
Austria,21/09/2000,AAA,F1+,stable,AAA,stable
Austria,26/10/1995,AAA,F1+,,AAA,
Austria,10/08/1994,AAA,,,-,
Azerbaijan,11/05/2012,BBB-,F3,stable,BBB-,stable
Azerbaijan,17/05/2011,BBB-,F3,positive,BBB-,positive
Azerbaijan,20/05/2010,BBB-,F3,stable,BBB-,stable
Azerbaijan,5/02/2007,BB+,B,stable,BB+,stable
Azerbaijan,22/11/2004,BB,B,stable,BB,stable
Azerbaijan,25/07/2002,BB-,B,positive,BB-,positive
Azerbaijan,20/07/2001,BB-,B,stable,BB-,stable
Azerbaijan,21/09/2000,B+,B,positive,BB-,positive
Azerbaijan,3/07/2000,B+,B,,BB-,
Bahrain,3/08/2011,BBB,F3,stable,BBB+,stable
Bahrain,15/03/2011,BBB,F3,Rating Watch negative,BBB+,Rating Watch negative
Bahrain,3/03/2011,A-,F1,negative,A,negative
Bahrain,17/02/2011,A,F1,Rating Watch negative,A+,Rating Watch negative
Bahrain,24/08/2007,A,F1,stable,A+,stable
Bahrain,17/08/2006,A-,F1,positive,A,positive
Bahrain,10/01/2003,A-,F1,stable,A,stable
Bahrain,16/12/2002,BBB,F3,Rating Watch positive,BBB+,Rating Watch positive
Bahrain,27/11/2001,BBB,F3,stable,BBB+,stable
Bahrain,21/09/2000,BBB-,F3,stable,BBB+,stable
